FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
Scolymia nsp.,,Solitary red coral,Scleractinian,,,,> 20m,Deep,W,,,H - B,H,B,?,,?,?,SM-SP,,,?,Very slow,Very Small,,*,Low,1,*,Low,01-feb,?,,,?,North Gulf of Mexico ??,Under study. Only observed in the Flower Gardens
Scolymia spp,,,Scleractinian,,,,,MidDepth,W,,,H - B,H,B,,,,,SM-SP,hemisphere,2,,Slow,Very Small,3,,Low,,,Low,,,Low,,,,
Scolymia,,,Scleractinian,,,,,MidDepth,W,,,H - B,H,B,,,,,SM-SP,hemisphere,2,,Slow,Very Small,3,,Low,,,Low,,,Low,,,,
Scolymia wellsi,,solitary disk corals,Scleractinian,,,Data deficient,15 - 35,MidDepth,W,,,H - B,H,B,1,1,>1,?,SM-SP,,,?,Very slow,Very Small,,*,Low,1,*,Low,01-feb,?,,,?,Eastern Caribbean ??,"Endemic to Brazil, presence in Caribbean needs Taxonomic verification"
Siderastrea radians,,Lesser starlet coral,Scleractinian,,5,Least concern,0 - 5,Shallow,W,2 - Weedy,,G - B,G,B,02-may,,>2,SP-SU-FA?,CR-SM,"encrusting, occasionally domes",2,0.15 - 1.8,Slow,Very small - Small,4,*,Low,1,**,LoMod,3,*,Low,01-feb,BBD - DSD - WPD,Wider Caribbean ,"Small, crustose and round colonies in shallow water habitats"
Siderastrea siderea,X,Massive starlet coral,Scleractinian,,5,Least concern,ene-50,Broad,S,4 - Stress Tolerant,,G - S,G,S,1,1,1,SU,CR-BO-SM,boulder,2,0.2 - 0.9,Slow,Medium - Large,8,**,LoMod,01-feb,***,HiMod,03-abr,***,HiMod,4,BBD - DSD - WPD -RBD - CCI - OTH - SCTLD,Wider Caribbean,Wide depth and habitat distribution
Siderastrea spp,,,Scleractinian,,,,,,,,,,,,,,,,,based on species within genus,2,,Slow,,5,,Low,,,LoMod,,,Low,,,,
Siderastrea,,,Scleractinian,,,,,,,,,,,,,,,,,based on species within genus,2,,Slow,,5,,Low,,,LoMod,,,Low,,,,
Siderastrea stellata,,Lesser starlet coral,Scleractinian,,,Data deficient,may-25,MidDepth,C,,,?,,,?,,?,?,CR-SM,,,?,Slow,Small,4,*,Low,01-feb,**,LoMod,02-mar,*,Low,1,WPD - GAN,Endemic to  Brasil ???,Needs Taxonomic verification
Solenastrea bournoni,,Smooth star coral,Scleractinian,,5,Least concern,mar-20,Shallow,S,,,G - S,G,S,?,,?,SU-FA,MA-BO,boulder,2,0.9,Slow,Medium - Large,6,**,LoMod,02-mar,**,LoMod,3,**,LoMod,2,BBD - WPD - DSD - OTH - SCTLD,Wider Caribbean except Bermuda,"Round, hemispherical medium sized colonies. Brownish to green coloration."
